,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,33,29,2,2,72,25,47,89,2.0,2020-07-05,LIV,2019
2,2,Manchester City,33,21,3,9,81,34,47,66,1.8,2020-07-05,MCI,2019
4,3,Leicester City,33,17,7,9,63,31,32,58,1.6,2020-07-04,LEI,2019
6,4,Chelsea,33,17,6,10,60,44,16,57,2.4,2020-07-04,CHE,2019
8,5,Manchester United,33,15,10,8,56,33,23,55,2.6,2020-07-04,MUN,2019
10,6,Wolverhampton Wanderers,33,13,13,7,45,36,9,52,2.0,2020-07-04,WOL,2019
12,7,Arsenal,33,12,13,8,49,41,8,49,1.8,2020-07-04,ARS,2019
14,8,Tottenham Hotspur,33,13,9,11,52,44,8,48,1.6,2020-07-06,TOT,2019
16,9,Sheffield United,33,12,12,9,34,33,1,48,1.0,2020-07-05,SHU,2019
18,10,Burnley,33,13,7,13,37,46,-9,46,1.6,2020-07-05,BUR,2019
20,11,Everton,33,12,8,13,40,48,-8,44,1.4,2020-07-06,EVE,2019
22,12,Newcastle United,33,11,10,12,35,45,-10,43,2.2,2020-07-05,NEW,2019
24,13,Southampton,33,13,4,16,42,55,-13,43,1.8,2020-07-05,SOU,2019
26,14,Crystal Palace,33,11,9,13,28,40,-12,42,1.2,2020-07-04,CRY,2019
28,15,Brighton and Hove Albion,33,8,12,13,35,44,-9,36,1.6,2020-07-04,BHA,2019
30,16,West Ham United,33,8,7,18,40,58,-18,31,0.8,2020-07-05,WHU,2019
32,17,Watford,33,6,10,17,29,52,-23,28,0.2,2020-07-04,WAT,2019
34,18,Aston Villa,33,7,6,20,36,62,-26,27,0.4,2020-07-05,AVL,2019
36,19,Bournemouth,33,7,6,20,32,59,-27,27,0.0,2020-07-04,BOU,2019
38,20,Norwich City,33,5,6,22,25,61,-36,21,0.0,2020-07-04,NOR,2019
