,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,26,25,1,0,61,15,46,76,3.0,2020-02-15,LIV,2019
2,2,Manchester City,26,17,3,6,67,29,38,54,2.0,2020-02-19,MCI,2019
4,3,Leicester City,26,15,5,6,54,26,28,50,1.0,2020-02-14,LEI,2019
6,4,Chelsea,26,12,5,9,43,36,7,41,1.0,2020-02-17,CHE,2019
8,5,Tottenham Hotspur,26,11,7,8,43,34,9,40,2.0,2020-02-16,TOT,2019
10,6,Sheffield United,26,10,9,7,28,24,4,39,2.0,2020-02-09,SHU,2019
12,7,Manchester United,26,10,8,8,38,29,9,38,1.4,2020-02-17,MUN,2019
14,8,Wolverhampton Wanderers,26,8,12,6,35,32,3,36,1.2,2020-02-14,WOL,2019
16,9,Everton,26,10,6,10,34,38,-4,36,2.2,2020-02-08,EVE,2019
18,10,Arsenal,26,7,13,6,36,34,2,34,1.4,2020-02-16,ARS,2019
20,11,Burnley,26,10,4,12,30,39,-9,34,2.0,2020-02-15,BUR,2019
22,12,Southampton,26,9,4,13,32,48,-16,31,1.2,2020-02-15,SOU,2019
24,13,Newcastle United,26,8,7,11,24,40,-16,31,1.2,2020-02-16,NEW,2019
26,14,Crystal Palace,26,7,9,10,23,32,-9,30,0.4,2020-02-08,CRY,2019
28,15,Brighton and Hove Albion,26,6,9,11,31,38,-7,27,0.6,2020-02-08,BHA,2019
30,16,Bournemouth,26,7,5,14,26,40,-14,26,1.2,2020-02-09,BOU,2019
32,17,Aston Villa,26,7,4,15,34,50,-16,25,0.8,2020-02-16,AVL,2019
34,18,West Ham United,26,6,6,14,30,45,-15,24,0.4,2020-02-19,WHU,2019
36,19,Watford,26,5,9,12,24,40,-16,24,1.0,2020-02-08,WAT,2019
38,20,Norwich City,26,4,6,16,24,48,-24,18,0.8,2020-02-15,NOR,2019
