,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,19,18,1,0,47,14,33,55,3.0,2019-12-29,LIV,2019
2,2,Leicester City,20,13,3,4,43,19,24,42,1.4,2019-12-28,LEI,2019
4,3,Manchester City,20,13,2,5,54,23,31,41,1.8,2019-12-29,MCI,2019
6,4,Chelsea,20,11,2,7,35,28,7,35,1.2,2019-12-29,CHE,2019
8,5,Manchester United,20,8,7,5,32,23,9,31,2.0,2019-12-28,MUN,2019
10,6,Tottenham Hotspur,20,8,6,6,36,29,7,30,2.0,2019-12-28,TOT,2019
12,7,Wolverhampton Wanderers,20,7,9,4,29,25,4,30,1.4,2019-12-29,WOL,2019
14,8,Sheffield United,20,7,8,5,23,19,4,29,2.0,2019-12-29,SHU,2019
16,9,Crystal Palace,20,7,6,7,18,22,-4,27,1.2,2019-12-28,CRY,2019
18,10,Everton,20,7,4,9,23,30,-7,25,2.2,2019-12-28,EVE,2019
20,11,Newcastle United,20,7,4,9,20,30,-10,25,1.2,2019-12-28,NEW,2019
22,12,Arsenal,20,5,9,6,26,30,-4,24,1.0,2019-12-29,ARS,2019
24,13,Burnley,20,7,3,10,23,32,-9,24,1.2,2019-12-28,BUR,2019
26,14,Brighton and Hove Albion,20,6,5,9,24,28,-4,23,1.0,2019-12-28,BHA,2019
28,15,Southampton,20,6,4,10,24,38,-14,22,1.4,2019-12-28,SOU,2019
30,16,Bournemouth,20,5,5,10,20,28,-8,20,0.8,2019-12-28,BOU,2019
32,17,West Ham United,19,5,4,10,21,32,-11,19,0.6,2019-12-28,WHU,2019
34,18,Aston Villa,20,5,3,12,25,36,-11,18,0.6,2019-12-28,AVL,2019
36,19,Watford,20,3,7,10,15,33,-18,16,1.6,2019-12-28,WAT,2019
38,20,Norwich City,20,3,4,13,21,40,-19,13,0.4,2019-12-28,NOR,2019
