,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,38,32,3,3,85,33,52,99,2.0,2020-07-26,LIV,2019
2,2,Manchester City,38,26,3,9,102,35,67,81,3.0,2020-07-26,MCI,2019
4,3,Manchester United,38,18,12,8,66,36,30,66,2.2,2020-07-26,MUN,2019
6,4,Chelsea,38,20,6,12,69,54,15,66,1.8,2020-07-26,CHE,2019
8,5,Leicester City,38,18,8,12,67,41,26,62,0.8,2020-07-26,LEI,2019
10,6,Tottenham Hotspur,38,16,11,11,61,47,14,59,2.2,2020-07-26,TOT,2019
12,7,Wolverhampton Wanderers,38,15,14,9,51,40,11,59,1.4,2020-07-26,WOL,2019
14,8,Arsenal,38,14,14,10,56,48,8,56,1.4,2020-07-26,ARS,2019
16,9,Sheffield United,38,14,12,12,39,39,0,54,1.2,2020-07-26,SHU,2019
18,10,Burnley,38,15,9,14,43,50,-7,54,1.6,2020-07-26,BUR,2019
20,11,Southampton,38,15,7,16,51,60,-9,52,1.8,2020-07-26,SOU,2019
22,12,Everton,38,13,10,15,44,56,-12,49,1.0,2020-07-26,EVE,2019
24,13,Newcastle United,38,11,11,16,38,58,-20,44,0.2,2020-07-26,NEW,2019
26,14,Crystal Palace,38,11,10,17,31,50,-19,43,0.2,2020-07-26,CRY,2019
28,15,Brighton and Hove Albion,38,9,14,15,39,54,-15,41,1.0,2020-07-26,BHA,2019
30,16,West Ham United,38,10,9,19,49,62,-13,39,1.6,2020-07-26,WHU,2019
32,17,Aston Villa,38,9,8,21,41,67,-26,35,1.6,2020-07-26,AVL,2019
34,18,Bournemouth,38,9,7,22,40,65,-25,34,1.4,2020-07-26,BOU,2019
36,19,Watford,38,8,10,20,36,64,-28,34,1.2,2020-07-26,WAT,2019
38,20,Norwich City,38,5,6,27,26,75,-49,21,0.0,2020-07-26,NOR,2019
