,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,22,21,1,0,52,14,38,64,3.0,2020-01-19,LIV,2019
2,2,Manchester City,23,15,3,5,64,27,37,48,2.0,2020-01-18,MCI,2019
4,3,Leicester City,23,14,3,6,48,23,25,45,1.2,2020-01-19,LEI,2019
6,4,Chelsea,23,12,3,8,39,30,9,39,1.4,2020-01-18,CHE,2019
8,5,Manchester United,23,9,7,7,36,27,9,34,1.8,2020-01-19,MUN,2019
10,6,Wolverhampton Wanderers,23,8,10,5,34,30,4,34,1.4,2020-01-18,WOL,2019
12,7,Sheffield United,23,8,9,6,25,22,3,33,1.0,2020-01-18,SHU,2019
14,8,Tottenham Hotspur,23,8,7,8,36,31,5,31,1.0,2020-01-18,TOT,2019
16,9,Crystal Palace,23,7,9,7,22,26,-4,30,1.4,2020-01-18,CRY,2019
18,10,Arsenal,23,6,11,6,30,32,-2,29,1.2,2020-01-18,ARS,2019
20,11,Everton,23,8,5,10,26,33,-7,29,2.0,2020-01-18,EVE,2019
22,12,Newcastle United,23,8,5,10,22,34,-12,29,0.8,2020-01-18,NEW,2019
24,13,Southampton,23,8,4,11,29,42,-13,28,2.0,2020-01-18,SOU,2019
26,14,Burnley,23,8,3,12,26,38,-12,27,0.6,2020-01-19,BUR,2019
28,15,Brighton and Hove Albion,23,6,7,10,26,31,-5,25,1.0,2020-01-18,BHA,2019
30,16,West Ham United,22,6,5,11,26,34,-8,23,0.8,2020-01-18,WHU,2019
32,17,Watford,23,5,8,10,20,34,-14,23,2.2,2020-01-18,WAT,2019
34,18,Aston Villa,23,6,4,13,29,44,-15,22,1.4,2020-01-18,AVL,2019
36,19,Bournemouth,23,5,5,13,20,36,-16,20,0.2,2020-01-18,BOU,2019
38,20,Norwich City,23,4,5,14,23,45,-22,17,1.0,2020-01-18,NOR,2019
