,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,31,28,2,1,70,21,49,86,2.0,2020-06-24,LIV,2019
2,2,Manchester City,31,20,3,8,77,33,44,63,1.8,2020-06-25,MCI,2019
4,3,Leicester City,31,16,7,8,59,29,30,55,1.0,2020-06-23,LEI,2019
6,4,Chelsea,31,16,6,9,55,41,14,54,2.6,2020-06-25,CHE,2019
8,5,Manchester United,31,13,10,8,48,31,17,49,2.2,2020-06-24,MUN,2019
10,6,Wolverhampton Wanderers,31,12,13,6,44,34,10,49,2.6,2020-06-24,WOL,2019
12,7,Tottenham Hotspur,31,12,9,10,50,41,9,45,1.0,2020-06-23,TOT,2019
14,8,Sheffield United,31,11,11,9,30,31,-1,44,1.0,2020-06-24,SHU,2019
16,9,Arsenal,31,10,13,8,43,41,2,43,1.8,2020-06-25,ARS,2019
18,10,Crystal Palace,31,11,9,11,28,36,-8,42,2.4,2020-06-24,CRY,2019
20,11,Burnley,31,12,6,13,35,45,-10,42,1.6,2020-06-25,BUR,2019
22,12,Everton,31,11,8,12,38,46,-8,41,1.0,2020-06-24,EVE,2019
24,13,Newcastle United,31,10,9,12,29,42,-13,39,1.6,2020-06-24,NEW,2019
26,14,Southampton,31,11,4,16,38,54,-16,37,1.2,2020-06-25,SOU,2019
28,15,Brighton and Hove Albion,31,7,12,12,34,41,-7,33,1.2,2020-06-23,BHA,2019
30,16,Watford,31,6,10,15,28,46,-18,28,0.8,2020-06-25,WAT,2019
32,17,West Ham United,31,7,6,18,35,54,-19,27,0.6,2020-06-23,WHU,2019
34,18,Bournemouth,31,7,6,18,29,50,-21,27,0.2,2020-06-24,BOU,2019
36,19,Aston Villa,31,7,6,18,36,59,-23,27,0.4,2020-06-24,AVL,2019
38,20,Norwich City,31,5,6,20,25,56,-31,21,0.6,2020-06-24,NOR,2019
