,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,13,12,1,0,30,11,19,37,2.6,2019-11-23,LIV,2019
2,2,Leicester City,13,9,2,2,31,8,23,29,3.0,2019-11-23,LEI,2019
4,3,Manchester City,13,9,1,3,37,14,23,28,2.4,2019-11-23,MCI,2019
6,4,Chelsea,13,8,2,3,28,19,9,26,2.4,2019-11-23,CHE,2019
8,5,Wolverhampton Wanderers,13,4,7,2,18,16,2,19,1.8,2019-11-23,WOL,2019
10,6,Sheffield United,13,4,6,3,16,12,4,18,1.8,2019-11-24,SHU,2019
12,7,Burnley,13,5,3,5,20,18,2,18,1.2,2019-11-23,BUR,2019
14,8,Arsenal,13,4,6,3,18,19,-1,18,0.6,2019-11-23,ARS,2019
16,9,Manchester United,13,4,5,4,19,15,4,17,1.6,2019-11-24,MUN,2019
18,10,Tottenham Hotspur,13,4,5,4,21,19,2,17,1.2,2019-11-23,TOT,2019
20,11,Bournemouth,13,4,4,5,16,17,-1,16,1.0,2019-11-23,BOU,2019
22,12,Brighton and Hove Albion,13,4,3,6,15,19,-4,15,1.2,2019-11-23,BHA,2019
24,13,Crystal Palace,13,4,3,6,11,18,-7,15,0.2,2019-11-23,CRY,2019
26,14,Newcastle United,13,4,3,6,11,20,-9,15,1.4,2019-11-25,NEW,2019
28,15,Aston Villa,13,4,2,7,19,20,-1,14,1.2,2019-11-25,AVL,2019
30,16,Everton,13,4,2,7,13,20,-7,14,1.4,2019-11-23,EVE,2019
32,17,West Ham United,13,3,4,6,16,23,-7,13,0.2,2019-11-23,WHU,2019
34,18,Norwich City,13,3,1,9,13,28,-15,10,0.8,2019-11-23,NOR,2019
36,19,Southampton,13,2,3,8,13,31,-18,9,0.4,2019-11-23,SOU,2019
38,20,Watford,13,1,5,7,8,26,-18,8,1.0,2019-11-23,WAT,2019
