,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,11,10,1,0,25,9,16,31,2.6,2019-11-02,LIV,2019
2,2,Manchester City,11,8,1,2,34,10,24,25,2.4,2019-11-02,MCI,2019
4,3,Leicester City,11,7,2,2,27,8,19,23,2.4,2019-11-03,LEI,2019
6,4,Chelsea,11,7,2,2,25,17,8,23,3.0,2019-11-02,CHE,2019
8,5,Arsenal,11,4,5,2,16,15,1,17,1.2,2019-11-02,ARS,2019
10,6,Sheffield United,11,4,4,3,12,8,4,16,1.6,2019-11-02,SHU,2019
12,7,Bournemouth,11,4,4,3,14,13,1,16,1.2,2019-11-02,BOU,2019
14,8,Brighton and Hove Albion,11,4,3,4,14,14,0,15,1.8,2019-11-02,BHA,2019
16,9,Crystal Palace,11,4,3,4,10,14,-4,15,1.4,2019-11-03,CRY,2019
18,10,Manchester United,11,3,4,4,13,11,2,13,1.0,2019-11-02,MUN,2019
20,11,Tottenham Hotspur,11,3,4,4,17,16,1,13,1.0,2019-11-03,TOT,2019
22,12,Wolverhampton Wanderers,11,2,7,2,14,14,0,13,1.8,2019-11-02,WOL,2019
24,13,West Ham United,11,3,4,4,14,17,-3,13,0.4,2019-11-02,WHU,2019
26,14,Burnley,11,3,3,5,14,18,-4,12,0.8,2019-11-02,BUR,2019
28,15,Newcastle United,11,3,3,5,9,17,-8,12,1.4,2019-11-02,NEW,2019
30,16,Aston Villa,11,3,2,6,16,18,-2,11,1.4,2019-11-02,AVL,2019
32,17,Everton,11,3,2,6,11,17,-6,11,0.8,2019-11-03,EVE,2019
34,18,Southampton,11,2,2,7,10,27,-17,8,0.2,2019-11-02,SOU,2019
36,19,Norwich City,11,2,1,8,11,26,-15,7,0.2,2019-11-02,NOR,2019
38,20,Watford,11,0,5,6,6,23,-17,5,0.6,2019-11-02,WAT,2019
