,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,25,24,1,0,60,15,45,73,3.0,2020-02-01,LIV,2019
2,2,Manchester City,25,16,3,6,65,29,36,51,2.0,2020-02-02,MCI,2019
4,3,Leicester City,25,15,4,6,54,26,28,49,1.4,2020-02-01,LEI,2019
6,4,Chelsea,25,12,5,8,43,34,9,41,1.2,2020-02-01,CHE,2019
8,5,Tottenham Hotspur,25,10,7,8,40,32,8,37,1.4,2020-02-02,TOT,2019
10,6,Sheffield United,25,9,9,7,26,23,3,36,1.4,2020-02-01,SHU,2019
12,7,Manchester United,25,9,8,8,36,29,7,35,0.8,2020-02-01,MUN,2019
14,8,Wolverhampton Wanderers,25,8,11,6,35,32,3,35,1.0,2020-02-01,WOL,2019
16,9,Everton,25,9,6,10,31,37,-6,33,1.6,2020-02-01,EVE,2019
18,10,Arsenal,25,6,13,6,32,34,-2,31,1.4,2020-02-02,ARS,2019
20,11,Burnley,25,9,4,12,28,38,-10,31,1.4,2020-02-02,BUR,2019
22,12,Newcastle United,25,8,7,10,24,36,-12,31,1.2,2020-02-01,NEW,2019
24,13,Southampton,25,9,4,12,31,46,-15,31,1.8,2020-02-01,SOU,2019
26,14,Crystal Palace,25,7,9,9,22,29,-7,30,0.6,2020-02-01,CRY,2019
28,15,Brighton and Hove Albion,25,6,8,11,30,37,-7,26,0.6,2020-02-01,BHA,2019
30,16,Bournemouth,25,7,5,13,25,38,-13,26,1.2,2020-02-01,BOU,2019
32,17,Aston Villa,25,7,4,14,32,47,-15,25,1.4,2020-02-01,AVL,2019
34,18,West Ham United,25,6,6,13,30,43,-13,24,0.4,2020-02-01,WHU,2019
36,19,Watford,25,5,8,12,23,39,-16,23,1.4,2020-02-01,WAT,2019
38,20,Norwich City,25,4,6,15,24,47,-23,18,1.0,2020-02-01,NOR,2019
