,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,16,15,1,0,40,14,26,46,3.0,2019-12-07,LIV,2019
2,2,Leicester City,16,12,2,2,39,10,29,38,3.0,2019-12-08,LEI,2019
4,3,Manchester City,16,10,2,4,44,19,25,32,1.4,2019-12-07,MCI,2019
6,4,Chelsea,16,9,2,5,31,24,7,29,1.2,2019-12-07,CHE,2019
8,5,Manchester United,16,6,6,4,25,19,6,24,2.2,2019-12-07,MUN,2019
10,6,Wolverhampton Wanderers,16,5,9,2,23,19,4,24,2.2,2019-12-08,WOL,2019
12,7,Tottenham Hotspur,16,6,5,5,30,23,7,23,2.0,2019-12-07,TOT,2019
14,8,Sheffield United,16,5,7,4,19,16,3,22,1.2,2019-12-08,SHU,2019
16,9,Arsenal,16,5,7,4,24,24,0,22,1.0,2019-12-09,ARS,2019
18,10,Crystal Palace,16,6,4,6,14,18,-4,22,1.4,2019-12-07,CRY,2019
20,11,Newcastle United,16,6,4,6,17,23,-6,22,2.0,2019-12-08,NEW,2019
22,12,Brighton and Hove Albion,16,5,4,7,20,24,-4,19,0.8,2019-12-08,BHA,2019
24,13,Burnley,16,5,3,8,21,29,-8,18,1.2,2019-12-07,BUR,2019
26,14,Everton,16,5,2,9,19,28,-9,17,1.2,2019-12-07,EVE,2019
28,15,Bournemouth,16,4,4,8,18,24,-6,16,0.0,2019-12-07,BOU,2019
30,16,West Ham United,16,4,4,8,18,28,-10,16,0.6,2019-12-09,WHU,2019
32,17,Aston Villa,16,4,3,9,23,28,-5,15,0.8,2019-12-08,AVL,2019
34,18,Southampton,16,4,3,9,18,35,-17,15,1.4,2019-12-08,SOU,2019
36,19,Norwich City,16,3,2,11,17,34,-17,11,0.8,2019-12-08,NOR,2019
38,20,Watford,16,1,6,9,9,30,-21,9,0.8,2019-12-07,WAT,2019
