,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,28,26,1,1,64,20,44,79,2.4,2020-02-29,LIV,2019
2,2,Manchester City,27,18,3,6,68,29,39,57,2.0,2020-02-22,MCI,2019
4,3,Leicester City,28,15,5,8,54,28,26,50,1.0,2020-02-28,LEI,2019
6,4,Chelsea,28,13,6,9,47,39,8,45,1.2,2020-02-29,CHE,2019
8,5,Manchester United,28,11,9,8,42,30,12,42,1.6,2020-03-01,MUN,2019
10,6,Wolverhampton Wanderers,28,10,12,6,41,34,7,42,1.6,2020-03-01,WOL,2019
12,7,Tottenham Hotspur,28,11,7,10,46,39,7,40,1.8,2020-03-01,TOT,2019
14,8,Sheffield United,27,10,10,7,29,25,4,40,1.6,2020-02-22,SHU,2019
16,9,Burnley,28,11,5,12,33,39,-6,38,2.2,2020-02-29,BUR,2019
18,10,Arsenal,27,8,13,6,39,36,3,37,1.8,2020-02-23,ARS,2019
20,11,Everton,28,10,7,11,37,42,-5,37,1.6,2020-03-01,EVE,2019
22,12,Crystal Palace,28,9,9,10,25,32,-7,36,1.2,2020-02-29,CRY,2019
24,13,Southampton,28,10,4,14,35,51,-16,34,1.2,2020-02-29,SOU,2019
26,14,Newcastle United,28,8,8,12,24,41,-17,32,0.6,2020-02-29,NEW,2019
28,15,Brighton and Hove Albion,28,6,10,12,32,40,-8,28,0.6,2020-02-29,BHA,2019
30,16,West Ham United,28,7,6,15,35,49,-14,27,0.8,2020-02-29,WHU,2019
32,17,Watford,28,6,9,13,27,43,-16,27,0.8,2020-02-29,WAT,2019
34,18,Bournemouth,28,7,6,15,28,45,-17,27,1.4,2020-02-29,BOU,2019
36,19,Aston Villa,27,7,4,16,34,52,-18,25,0.8,2020-02-22,AVL,2019
38,20,Norwich City,28,5,6,17,25,51,-26,21,0.8,2020-02-28,NOR,2019
