,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,24,23,1,0,56,15,41,70,3.0,2020-01-29,LIV,2019
2,2,Manchester City,24,16,3,5,65,27,38,51,2.6,2020-01-21,MCI,2019
4,3,Leicester City,24,15,3,6,52,24,28,48,1.8,2020-01-22,LEI,2019
6,4,Chelsea,24,12,4,8,41,32,9,40,1.6,2020-01-21,CHE,2019
8,5,Manchester United,24,9,7,8,36,29,7,34,1.2,2020-01-22,MUN,2019
10,6,Tottenham Hotspur,24,9,7,8,38,32,6,34,1.0,2020-01-22,TOT,2019
12,7,Wolverhampton Wanderers,24,8,10,6,35,32,3,34,0.8,2020-01-23,WOL,2019
14,8,Sheffield United,24,8,9,7,25,23,2,33,0.8,2020-01-21,SHU,2019
16,9,Southampton,24,9,4,11,31,42,-11,31,2.0,2020-01-21,SOU,2019
18,10,Arsenal,24,6,12,6,32,34,-2,30,1.2,2020-01-21,ARS,2019
20,11,Crystal Palace,24,7,9,8,22,28,-6,30,0.8,2020-01-21,CRY,2019
22,12,Everton,24,8,6,10,28,35,-7,30,1.6,2020-01-21,EVE,2019
24,13,Burnley,24,9,3,12,28,38,-10,30,1.2,2020-01-22,BUR,2019
26,14,Newcastle United,24,8,6,10,24,36,-12,30,1.0,2020-01-21,NEW,2019
28,15,Brighton and Hove Albion,24,6,7,11,27,34,-7,25,1.0,2020-01-21,BHA,2019
30,16,Aston Villa,24,7,4,13,31,45,-14,25,1.4,2020-01-21,AVL,2019
32,17,West Ham United,24,6,5,13,27,40,-13,23,0.8,2020-01-29,WHU,2019
34,18,Bournemouth,24,6,5,13,23,37,-14,23,0.6,2020-01-21,BOU,2019
36,19,Watford,24,5,8,11,21,36,-15,23,2.0,2020-01-21,WAT,2019
38,20,Norwich City,24,4,5,15,24,47,-23,17,1.0,2020-01-22,NOR,2019
