,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,15,14,1,0,37,14,23,43,3.0,2019-12-04,LIV,2019
2,2,Leicester City,15,11,2,2,35,9,26,35,3.0,2019-12-04,LEI,2019
4,3,Manchester City,15,10,2,3,43,17,26,32,2.0,2019-12-03,MCI,2019
6,4,Chelsea,15,9,2,4,30,21,9,29,1.8,2019-12-04,CHE,2019
8,5,Wolverhampton Wanderers,15,5,8,2,21,17,4,23,2.2,2019-12-04,WOL,2019
10,6,Manchester United,15,5,6,4,23,18,5,21,1.6,2019-12-04,MUN,2019
12,7,Crystal Palace,15,6,3,6,14,18,-4,21,1.2,2019-12-03,CRY,2019
14,8,Tottenham Hotspur,15,5,5,5,25,23,2,20,1.6,2019-12-04,TOT,2019
16,9,Sheffield United,15,4,7,4,17,15,2,19,1.2,2019-12-05,SHU,2019
18,10,Arsenal,15,4,7,4,21,23,-2,19,0.6,2019-12-05,ARS,2019
20,11,Newcastle United,15,5,4,6,15,22,-7,19,2.0,2019-12-05,NEW,2019
22,12,Burnley,15,5,3,7,21,24,-3,18,1.2,2019-12-03,BUR,2019
24,13,Brighton and Hove Albion,15,5,3,7,18,22,-4,18,1.2,2019-12-05,BHA,2019
26,14,Bournemouth,15,4,4,7,18,21,-3,16,0.6,2019-12-03,BOU,2019
28,15,West Ham United,15,4,4,7,17,25,-8,16,0.6,2019-12-04,WHU,2019
30,16,Aston Villa,15,4,3,8,22,24,-2,15,0.8,2019-12-04,AVL,2019
32,17,Southampton,15,4,3,8,17,33,-16,15,1.4,2019-12-04,SOU,2019
34,18,Everton,15,4,2,9,16,27,-11,14,0.8,2019-12-04,EVE,2019
36,19,Norwich City,15,3,2,10,16,32,-16,11,0.8,2019-12-04,NOR,2019
38,20,Watford,15,1,5,9,9,30,-21,8,0.6,2019-12-04,WAT,2019
