,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,10,9,1,0,23,8,15,28,2.6,2019-10-27,LIV,2019
2,2,Manchester City,10,7,1,2,32,9,23,22,2.4,2019-10-26,MCI,2019
4,3,Leicester City,10,6,2,2,25,8,17,20,2.4,2019-10-25,LEI,2019
6,4,Chelsea,10,6,2,2,23,16,7,20,2.4,2019-10-26,CHE,2019
8,5,Arsenal,10,4,4,2,15,14,1,16,1.6,2019-10-27,ARS,2019
10,6,Crystal Palace,10,4,3,3,10,12,-2,15,1.6,2019-10-27,CRY,2019
12,7,Manchester United,10,3,4,3,13,10,3,13,1.0,2019-10-27,MUN,2019
14,8,Sheffield United,10,3,4,3,9,8,1,13,1.6,2019-10-26,SHU,2019
16,9,Bournemouth,10,3,4,3,13,13,0,13,1.2,2019-10-26,BOU,2019
18,10,West Ham United,10,3,4,3,12,14,-2,13,1.0,2019-10-26,WHU,2019
20,11,Tottenham Hotspur,10,3,3,4,16,15,1,12,0.8,2019-10-27,TOT,2019
22,12,Wolverhampton Wanderers,10,2,6,2,13,13,0,12,1.8,2019-10-27,WOL,2019
24,13,Burnley,10,3,3,4,14,15,-1,12,1.4,2019-10-26,BUR,2019
26,14,Brighton and Hove Albion,10,3,3,4,12,14,-2,12,1.4,2019-10-26,BHA,2019
28,15,Aston Villa,10,3,2,5,15,16,-1,11,1.4,2019-10-26,AVL,2019
30,16,Everton,10,3,1,6,10,16,-6,10,0.6,2019-10-26,EVE,2019
32,17,Newcastle United,10,2,3,5,6,15,-9,9,1.0,2019-10-27,NEW,2019
34,18,Southampton,10,2,2,6,9,25,-16,8,0.2,2019-10-25,SOU,2019
36,19,Norwich City,10,2,1,7,11,24,-13,7,0.2,2019-10-27,NOR,2019
38,20,Watford,10,0,5,5,5,21,-16,5,0.6,2019-10-26,WAT,2019
