,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,30,27,2,1,66,21,45,83,2.0,2020-06-21,LIV,2019
2,2,Manchester City,30,20,3,7,76,31,45,63,2.4,2020-06-22,MCI,2019
4,3,Leicester City,30,16,6,8,59,29,30,54,1.0,2020-06-20,LEI,2019
6,4,Chelsea,30,15,6,9,53,40,13,51,2.0,2020-06-21,CHE,2019
8,5,Manchester United,30,12,10,8,45,31,14,46,2.2,2020-06-19,MUN,2019
10,6,Wolverhampton Wanderers,30,11,13,6,43,34,9,46,2.2,2020-06-20,WOL,2019
12,7,Sheffield United,30,11,11,8,30,28,2,44,1.6,2020-06-21,SHU,2019
14,8,Tottenham Hotspur,30,11,9,10,48,41,7,42,1.0,2020-06-19,TOT,2019
16,9,Crystal Palace,30,11,9,10,28,32,-4,42,2.4,2020-06-20,CRY,2019
18,10,Arsenal,30,9,13,8,41,41,0,40,1.8,2020-06-20,ARS,2019
20,11,Burnley,30,11,6,13,34,45,-11,39,1.6,2020-06-22,BUR,2019
22,12,Everton,30,10,8,12,37,46,-9,38,1.0,2020-06-21,EVE,2019
24,13,Newcastle United,30,10,8,12,28,41,-13,38,1.4,2020-06-21,NEW,2019
26,14,Southampton,30,11,4,15,38,52,-14,37,1.2,2020-06-19,SOU,2019
28,15,Brighton and Hove Albion,30,7,11,12,34,41,-7,32,1.2,2020-06-20,BHA,2019
30,16,Watford,30,6,10,14,28,45,-17,28,1.0,2020-06-20,WAT,2019
32,17,West Ham United,30,7,6,17,35,52,-17,27,0.6,2020-06-20,WHU,2019
34,18,Bournemouth,30,7,6,17,29,49,-20,27,0.2,2020-06-20,BOU,2019
36,19,Aston Villa,30,7,5,18,35,58,-23,26,0.2,2020-06-21,AVL,2019
38,20,Norwich City,30,5,6,19,25,55,-30,21,0.6,2020-06-19,NOR,2019
