,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,36,30,3,3,77,29,48,93,1.4,2020-07-15,LIV,2019
2,2,Manchester City,36,24,3,9,93,35,58,75,2.4,2020-07-15,MCI,2019
4,3,Chelsea,36,19,6,11,64,49,15,63,1.8,2020-07-14,CHE,2019
6,4,Leicester City,36,18,8,10,67,36,31,62,1.4,2020-07-16,LEI,2019
8,5,Manchester United,36,17,11,8,63,35,28,62,2.6,2020-07-16,MUN,2019
10,6,Wolverhampton Wanderers,36,14,14,8,49,38,11,56,1.4,2020-07-15,WOL,2019
12,7,Tottenham Hotspur,36,15,10,11,57,46,11,55,2.0,2020-07-15,TOT,2019
14,8,Sheffield United,36,14,12,10,38,35,3,54,2.0,2020-07-16,SHU,2019
16,9,Arsenal,36,13,14,9,53,45,8,53,2.0,2020-07-15,ARS,2019
18,10,Burnley,36,14,9,13,40,48,-8,51,1.8,2020-07-15,BUR,2019
20,11,Everton,36,12,10,14,42,53,-11,46,1.0,2020-07-16,EVE,2019
22,12,Southampton,36,13,7,16,46,59,-13,46,1.8,2020-07-16,SOU,2019
24,13,Newcastle United,36,11,10,15,37,55,-18,43,0.8,2020-07-15,NEW,2019
26,14,Crystal Palace,36,11,9,16,30,47,-17,42,0.0,2020-07-16,CRY,2019
28,15,West Ham United,36,10,7,19,47,60,-13,37,2.0,2020-07-17,WHU,2019
30,16,Brighton and Hove Albion,36,8,13,15,37,53,-16,37,0.8,2020-07-16,BHA,2019
32,17,Watford,36,8,10,18,34,57,-23,34,1.2,2020-07-17,WAT,2019
34,18,Bournemouth,36,8,7,21,37,62,-25,31,0.8,2020-07-15,BOU,2019
36,19,Aston Villa,36,8,7,21,39,66,-27,31,0.8,2020-07-16,AVL,2019
38,20,Norwich City,36,5,6,25,26,68,-42,21,0.0,2020-07-14,NOR,2019
