,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,1,1,0,0,5,0,5,3,3.0,2019-08-10,MCI,2019
2,2,Manchester United,1,1,0,0,4,0,4,3,3.0,2019-08-11,MUN,2019
4,3,Liverpool,1,1,0,0,4,1,3,3,3.0,2019-08-09,LIV,2019
6,4,Brighton and Hove Albion,1,1,0,0,3,0,3,3,3.0,2019-08-10,BHA,2019
8,5,Burnley,1,1,0,0,3,0,3,3,3.0,2019-08-10,BUR,2019
10,6,Tottenham Hotspur,1,1,0,0,3,1,2,3,3.0,2019-08-10,TOT,2019
12,7,Arsenal,1,1,0,0,1,0,1,3,3.0,2019-08-11,ARS,2019
14,8,Bournemouth,1,0,1,0,1,1,0,1,1.0,2019-08-10,BOU,2019
16,9,Sheffield United,1,0,1,0,1,1,0,1,1.0,2019-08-10,SHU,2019
18,10,Crystal Palace,1,0,1,0,0,0,0,1,1.0,2019-08-10,CRY,2019
20,11,Everton,1,0,1,0,0,0,0,1,1.0,2019-08-10,EVE,2019
22,12,Leicester City,1,0,1,0,0,0,0,1,1.0,2019-08-11,LEI,2019
24,13,Wolverhampton Wanderers,1,0,1,0,0,0,0,1,1.0,2019-08-11,WOL,2019
26,14,Newcastle United,1,0,0,1,0,1,-1,0,0.0,2019-08-11,NEW,2019
28,15,Aston Villa,1,0,0,1,1,3,-2,0,0.0,2019-08-10,AVL,2019
30,16,Norwich City,1,0,0,1,1,4,-3,0,0.0,2019-08-09,NOR,2019
32,17,Southampton,1,0,0,1,0,3,-3,0,0.0,2019-08-10,SOU,2019
34,18,Watford,1,0,0,1,0,3,-3,0,0.0,2019-08-10,WAT,2019
36,19,Chelsea,1,0,0,1,0,4,-4,0,0.0,2019-08-11,CHE,2019
38,20,West Ham United,1,0,0,1,0,5,-5,0,0.0,2019-08-10,WHU,2019
