,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,17,16,1,0,42,14,28,49,3.0,2019-12-14,LIV,2019
2,2,Leicester City,17,12,3,2,40,11,29,39,2.6,2019-12-14,LEI,2019
4,3,Manchester City,17,11,2,4,47,19,28,35,2.0,2019-12-15,MCI,2019
6,4,Chelsea,17,9,2,6,31,25,6,29,0.6,2019-12-14,CHE,2019
8,5,Tottenham Hotspur,17,7,5,5,32,24,8,26,2.4,2019-12-15,TOT,2019
10,6,Manchester United,17,6,7,4,26,20,6,25,1.8,2019-12-15,MUN,2019
12,7,Sheffield United,17,6,7,4,21,16,5,25,1.6,2019-12-14,SHU,2019
14,8,Wolverhampton Wanderers,17,5,9,3,24,21,3,24,1.6,2019-12-15,WOL,2019
16,9,Crystal Palace,17,6,5,6,15,19,-4,23,1.6,2019-12-16,CRY,2019
18,10,Arsenal,17,5,7,5,24,27,-3,22,1.0,2019-12-15,ARS,2019
20,11,Newcastle United,17,6,4,7,17,24,-7,22,1.4,2019-12-14,NEW,2019
22,12,Burnley,17,6,3,8,22,29,-7,21,1.2,2019-12-14,BUR,2019
24,13,Brighton and Hove Albion,17,5,5,7,21,25,-4,20,1.0,2019-12-16,BHA,2019
26,14,Bournemouth,17,5,4,8,19,24,-5,19,0.6,2019-12-14,BOU,2019
28,15,West Ham United,17,5,4,8,19,28,-9,19,1.2,2019-12-14,WHU,2019
30,16,Everton,17,5,3,9,20,29,-9,18,0.8,2019-12-15,EVE,2019
32,17,Aston Villa,17,4,3,10,23,30,-7,15,0.8,2019-12-14,AVL,2019
34,18,Southampton,17,4,3,10,18,36,-18,15,1.4,2019-12-14,SOU,2019
36,19,Norwich City,17,3,3,11,18,35,-17,12,1.0,2019-12-14,NOR,2019
38,20,Watford,17,1,6,10,9,32,-23,9,0.2,2019-12-14,WAT,2019
