,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,3,3,0,0,9,3,6,9,3.0,2019-08-24,LIV,2019
2,2,Manchester City,3,2,1,0,10,3,7,7,2.3333333333333335,2019-08-25,MCI,2019
4,3,Arsenal,3,2,0,1,4,4,0,6,2.0,2019-08-24,ARS,2019
6,4,Leicester City,3,1,2,0,3,2,1,5,1.6666666666666667,2019-08-24,LEI,2019
8,5,Manchester United,3,1,1,1,6,3,3,4,1.3333333333333333,2019-08-24,MUN,2019
10,6,Burnley,3,1,1,1,5,3,2,4,1.3333333333333333,2019-08-25,BUR,2019
12,7,Tottenham Hotspur,3,1,1,1,5,4,1,4,1.3333333333333333,2019-08-25,TOT,2019
14,8,Brighton and Hove Albion,3,1,1,1,4,3,1,4,1.3333333333333333,2019-08-24,BHA,2019
16,9,Sheffield United,3,1,1,1,3,3,0,4,1.3333333333333333,2019-08-24,SHU,2019
18,10,Crystal Palace,3,1,1,1,2,2,0,4,1.3333333333333333,2019-08-24,CRY,2019
20,11,Bournemouth,3,1,1,1,4,5,-1,4,1.3333333333333333,2019-08-25,BOU,2019
22,12,Everton,3,1,1,1,1,2,-1,4,1.3333333333333333,2019-08-23,EVE,2019
24,13,Chelsea,3,1,1,1,4,7,-3,4,1.3333333333333333,2019-08-24,CHE,2019
26,14,West Ham United,3,1,1,1,4,7,-3,4,1.3333333333333333,2019-08-24,WHU,2019
28,15,Wolverhampton Wanderers,3,0,3,0,2,2,0,3,1.0,2019-08-25,WOL,2019
30,16,Aston Villa,3,1,0,2,4,5,-1,3,1.0,2019-08-23,AVL,2019
32,17,Norwich City,3,1,0,2,6,8,-2,3,1.0,2019-08-24,NOR,2019
34,18,Southampton,3,1,0,2,3,5,-2,3,1.0,2019-08-24,SOU,2019
36,19,Newcastle United,3,1,0,2,2,4,-2,3,1.0,2019-08-25,NEW,2019
38,20,Watford,3,0,0,3,1,7,-6,0,0.0,2019-08-24,WAT,2019
